0	81.926	10.49
1a	35.356	5.83
1b	12.898	9.02
2bb	7.909	6.3996
3bbb	3.218	5.464333333
4bbbb	12.897	4.415470588
4bbba	13.702	3.047578947
3bba	4.872	5.7525
4bbaa	12.084	3.255615385
4bbab	13.063	3.828294118
2ba	2.822	6.91175
3baa	14.547	8.694071429
3bab	7.034	5.786166667
4baba	2.078	6.404666667
5babaa	11.585	2.071642857
5babab	16.341	3.680363636
4babb	3.9	6.8046
5babbb	7.71	10.749
6babbbb	17.269	2.019
6babbba	3.243	10.3015
7babbbab	7.582	0.842466667
7babbbaa	15.97	2.489545455
5babba	3.682	10.749
6babbaa	12.091	11.11286667
6babbab	6.13	5.914833333
7babbabb	23.81	3.890285714
7babbaba	12.388	6.72225
8babbabab	16.735	3.409692308
8babbabaa	6.466	4.4928
9babbabaab	13.561	8.678785714
9babbabaaa	14.259	5.76485
2aa	8.527	6.2615
3aaa	1.362	11.3725
4aaaa	15.544	5.836071429
4aaab	11.431	5.874
3aab	2.327	5.10225
4aabb	11.481	2.584571429
4aaba	12.587	2.698
2ab	7.993	5.3323
3abb	9.544	3.8637
4abbb	2.357	2.152714286
5abbbb	12.383	0.945709677
5abbba	12.258	1.455035714
4abba	11.929	4.8200625
3aba	3.109	5.5882
4abab	16.123	3.253181818
4abaa	5.287	4.4854
5abaaa	12.058	2.680153846
5abaab	3.304	5.2405
6abaaba	2.61	6.524
7abaabaa	15.795	3.401647059
7abaabab	11.023	5.18747619
6abaabb	5.803	4.667142857
7abaabbb	14.572	1.572931818
7abaabba	6.674	2.86
8abaabbab	12.498	3.067210526
8abaabbaa	5.703	4.595571429
9abaabbaab	13.823	3.607
9abaabbaaa	7.474	2.6454

