0	75.175	7.16
1a	37.161	3.45
1b	16.255	9.49
2bb	10.822	4.5679
2ba	7.03	4.6843
3baa	13.869	4.601
3bab	14.888	3.55347619
3bbb	1.951	8.992666667
4bbbb	13.591	2.779
4bbba	11.811	7.058611111
3bba	15.309	4.830470588
4bbaa	12.79	2.238913043
4bbab	5.336	4.188444444
5bbabb	13.229	2.005735294
5bbaba	3.244	3.5325
6bbabaa	12.18	3.167631579
6bbabab	14.209	1.849837838
2aa	7.761	4.5315
3aaa	13.624	4.906608696
3aab	13.36	4.325565217
2ab	6.67	4.0815
3abb	4.607	2.7135
4abbb	13.863	4.470344828
4abba	14.967	1.604565217
3aba	7.17	3.1049
4abaa	13.493	8.901076923
4abab	1.658	5.50975
5ababb	14.695	1.631428571
5ababa	4.637	5.021
6ababaa	14.148	2.848793103
6ababab	3.379	4.836
7abababa	13.347	1.587961538
7abababb	4.183	2.3275
8abababbb	11.956	2.653925926
8abababba	10.978	2.45755
		
