0	79.468	7.99
1a	38.974	5.03
1b	18.118	5.74
2ba	12.983	4.926823529
3baa	3.996	3.68825
3bab	8.179	3.03
4babb	12.885	3.451428571
4baba	1.752	2.484833333
5babab	12.269	2.855575
5babaa	4.349	2.036916667
4baaa	22.126	3.170289474
4baab	6.24	4.198111111
5baaba	16.381	2.023565217
5baabb	6.178	2.9275
6baabba	14.103	2.907575758
6baabbb	3.263	3.051142857
7baabbbb	12.627	4.9899
7baabbba	17.484	1.317022222
2bb	4.858	5.585
3bbb	12.949	3.386466667
3bba	2.355	3.385666667
4bbaa	17.046	2.147808511
4bbab	1.112	4.849
5bbabb	12.266	3.733529412
5bbaba	12.843	3.76428
2aa	8.048	4.929888889
3aaa	14.179	3.616857143
3aab	12.465	2.626352941
2ab	7.774	4.2515
3abb	18.373	2.399703125
3aba	7.55	3.341136364
4abab	8.342	4.534583333
4abaa	5.299	4.577363636
5abaaa	13.577	4.522416667
5abaab	6.01	2.422714286
6abaabb	12.856	1.605367347
6abaaba	14.879	4.204459459
