0	79.914	7.05
1a	40.301	5.53
1b	15.388	6.52
2ba	8.016	4.2999
3baa	16.151	3.90676
3bab	3.106	3.4895
4baba	13.427	3.160086957
4babb	7.466	1.637125
5babbb	12.735	2.167166667
5babba	12.513	3.161576923
2bb	12.568	6.7165
3bba	7.336	8.61
3bbb	3.849	7.7455
4bbbb	18.305	2.169793103
4bbba	2.147	6.492333333
5bbbab	6.128	3.516090909
6bbbabb	30.828	2.134366667
6bbbaba	15.666	2.131741935
5bbbaa	13.172	0.725323529
6bbbaab	12.513	2.428857143
6bbbaaa	12.439	2.4354375
4bbaa	34.631	6.905148148
4bbab	30.9	7.507833333
5bbabb	21.781	4.306391304
5bbaba	16.536	8.653733333
2aa	4.111	6.369333333
2ab	5.844	6.6384
3aba	26.408	3.843870968
3abb	3.277	6.108666667
4abbb	15.481	4.013166667
4abba	11.325	1.482705882
5abbab	12.963	1.5626
5abbaa	3.784	2.9665
6abbaab	15.314	2.170297297
6abbaaa	13.425	1.287733333
3aab	24.695	6.166846154
3aaa	7.041	5.447666667
4aaab	12.524	2.121142857
4aaaa	3.794	4.7014
5aaaab	12.496	3.209888889
5aaaaa	3.196	2.5085
6aaaaab	13.04	3.888941176
6aaaaaa	2.413	2.3409
7aaaaaaa	9.083	0.740633333
7aaaaaab	4.86	1.677
8aaaaaaba	12.1	0.404460674
8aaaaaabb	1.382	2.6825
9aaaaaabbb	12.464	0.819139535
9aaaaaabba	11.658	2.404833333
