0	71.495	7.99
1a	37.654	4.55
1b	14.627	6.16
2ba	5.524	5.5146
3baa	16.158	3.171047619
3bab	2.972	4.43825
4babb	14.661	4.120529412
4baba	3.957	4.130333333
5babab	4.712	3.5984
5babaa	13.591	2.06425
2bb	20.058	5.080823529
3bba	14.293	3.011
4bbab	14.8	2.650142857
4bbaa	13.011	2.261052632
3bbb	4.509	7.27825
4bbba	11.759	4.7096875
4bbbb	2.954	4.293
5bbbbb	16.58	2.873421053
5bbbba	14.35	2.698764706
2ab	6.89	6.179285714
2aa	7.412	4.602833333
3aaa	18.662	2.745935484
3aab	3.468	4.48975
4aabb	9.774	4.57275
4aaba	6.894	4.343
5aabaa	15.529	2.485263158
5aabab	1.784	3.6875
6aababb	1.404	4.8995
6aababa	15.009	1.2814
7aababba	11.736	3.259473684
7aababbb	3.161	3.8065
8aababbbb	12.498	2.765083333
8aababbba	15.826	3.127714286
3abb	4.827	4.48425
4abbb	19.725	4.083222222
4abba	12.919	3.712538462
3aba	2.155	5.382
4abab	13.27	1.522645161
4abaa	4.761	3.247666667
5abaab	10.281	3.275857143
5abaaa	8.13	2.294666667
