0	70.74	7.15
1a	37.642	3.85
1b	14.1	5.54
2bb	6.032	3.57
3bbb	13.437	4.396181818
3bba	2.369	4.4244
4bbab	4.318	7.75725
5bbabb	11.984	1.206344828
5bbaba	13.927	3.191962963
4bbaa	2.697	6.76525
5bbaaa	12.561	2.804076923
5bbaab	5.94	3.761666667
6bbaabb	11.533	1.271421053
6bbaaba	13.978	0.556016129
2ba	13.324	3.391705882
3baa	13.744	4.979333333
3bab	4.668	4.216
4babb	14.414	2.733136364
4baba	5.72	3.290375
5babaa	3.433	6.188571429
5babab	1.281	5.443333333
6bababb	13.205	2.47625
6bababa	21.099	3.289321429
2aa	8.546	3.565538462
3aab	14.253	3.282217391
3aaa	7.182	2.542
4aaaa	15.752	1.577558824
4aaab	3.717	1.5665
5aaaba	14.173	4.694565217
5aaabb	13.692	4.879571429
2ab	5.584	3.3918
3abb	17.12	1.396527778
3aba	6.79	3.077818182
4abab	13.568	4.241148148
4abaa	4.491	3.721555556
5abaab	13.497	2.425166667
5abaaa	2.554	4.5484
6abaaaa	3.792	3.012333333
7abaaaab	16.441	0.859927536
7abaaaaa	14.407	2.810452381
6abaaab	3.216	1.809166667
7abaaaba	12.105	1.027702703
7abaaabb	2.391	1.486166667
8abaaabbb	5.532	1.118846154
8abaaabba	0.808	1.534833333
9abaaabbab	10.524	2.955407407
9abaaabbaa	4.464	1.31

