0	77.982	8.5
1a	32.283	7.68
1b	6.898	5.81
2ba	5.196	5.856
3baa	13.337	1.716090909
3bab	3.083	4.1002
4babb	14.861	4.212409091
4baba	14.056	5.608954545
2bb	14.266	6.392285714
3bba	15.138	2.325194444
3bbb	10.448	4.572625
4bbbb	25.065	3.272553191
4bbba	4.156	4.5805
5bbbaa	14.834	2.0772
5bbbab	4.579	5.581833333
6bbbabb	13.068	2.771966667
6bbbaba	5.288	3.731
7bbbabaa	5.822	5.536333333
7bbbabab	6.587	0.711866667
8bbbababb	5.972	0.402657895
8bbbababa	11.146	0.539380282
8bbbabaaa	13.34	4.5135
8bbbabaab	15.084	0.824107143
2ab	8.881	6.475714286
2aa	7.294	5.023666667
3aab	9.383	4.039875
3aaa	6.251	3.355666667
4aaaa	9.951	0.958769231
4aaab	6.6	0.69475
5aaabb	9.288	0.846869565
5aaaba	1.61	2.0245
6aaabab	13.097	2.1185625
6aaabaa	13.783	0.396944954
4aabb	5.07	3.212666667
4aaba	3.051	6.03875
5aabaa	13.287	2.828428571
5aabab	8.632	2.855
6aababb	17.055	3.231352941
6aababa	4.715	1.424181818
7aababab	6.956	1.009909091
7aababaa	13.564	3.298578947
5aabba	16.687	2.096060606
5aabbb	3.647	4.0794
6aabbba	11.399	2.911263158
6aabbbb	12.866	5.189733333
3aba	3.799	6.1685
3abb	2.417	9.2395
4abbb	7.664	4.110666667
4abba	5.041	5.4898
5abbbb	17.499	1.851230769
5abbba	18.029	4.182421053
4abaa	9.537	0.751357143
4abab	4.308	3.4844
5ababa	4.202	1.6912
5ababb	3.787	0.954214286
6ababba	11.582	3.8862
6ababbb	3.281	3.7575
6ababaa	12.195	0.954119048
6ababab	5.417	0.7021875
7abababb	10.888	2.042896552
7abababa	8.921	1.214
8abababab	12.089	2.46773913
8abababaa	14.19	1.887724138
