0	76.358	7.56
1a	38.247	5.83
1b	15.402	7.05
2bb	9.68	3.984222222
3bba	14.225	1.627472222
3bbb	1.282	3.529
4bbbb	13.812	1.830225806
4bbba	13.561	3.238238095
2ba	13.752	4.824818182
3baa	7.693	4.512333333
4baaa	14.072	1.979068966
4baab	13.401	2.19536
3bab	4.171	8.659333333
4babb	11.565	1.4141
5babbb	11.024	1.7366875
5babba	12.241	0.738923077
4baba	3.46	4.691
5babaa	7.376	3.454428571
6babaaa	17.688	2.429458333
6babaab	5.253	3.432285714
7babaabb	12.732	3.902705882
7babaaba	19.591	2.098472222
5babab	7.653	4.0685
6bababa	4.594	4.684666667
7bababaa	14.533	4.159894737
7bababab	12.245	4.279625
6bababb	3.688	3.648
7bababbb	14.863	2.621526316
7bababba	12.097	3.271761905
2ab	4.787	6.58525
2aa	7.037	5.662
3aaa	3.742	5.538666667
3aab	14.636	6.1275
4aaba	2.48	5.7665
4aabb	6.8	5.7525
5aabba	12.998	2.022521739
5aabbb	14.181	3.335478261
5aabaa	12.901	2.339925926
5aabab	4.299	3.31475
6aababa	11.807	3.199238095
6aababb	6.781	2.175692308
4aaab	3.653	3.3135
5aaaba	7.339	4.933666667
5aaabb	4.365	3.1106
4aaaa	4.417	3.10725
5aaaaa	20.236	0.993880597
5aaaab	1.485	4.99375
6aaaaba	11.887	1.528153846
6aaaabb	8.715	1.895
3abb	3.805	6.409666667
3aba	6.23	5.579333333
4abab	14.393	6.527666667
4abaa	5.766	2.262444444
4abba	14.781	0.837705882
4abbb	6.965	3.3636
5abbba	12.315	3.9214375
5abbbb	4.622	2.534666667
6abbbba	11.535	3.573052632
6abbbbb	2.201	3.825
7abbbbbb	12.177	1.229380952
7abbbbba	12.082	1.280666667
