genNum,length_cm,diam_cm
0,6.56,1.351
1,2.987,0.973
2,1.143,0.688
3,0.804,0.517
4,0.645,0.318
5,0.536,0.251
6,0.394,0.208
7,0.3,0.139
8,0.255,0.101
9,0.287,0.09
10,0.256,0.076
11,0.239,0.061
12,0.221,0.058
13,0.204,0.053
14,0.187,0.049
15,0.099,0.036
16,0.081,0.035
17,0.067,0.029
18,0.06,0.027
19,0.05,0.026
20,0.05,0.024
21,0.05,0.022
22,0.048,0.021
23,0.054,0.018
