genNum,length_cm,diam_cm
0,5.33,1.105
1,2.544,0.803
2,0.971,0.575
3,0.673,0.436
4,0.559,0.276
5,0.455,0.216
6,0.34,0.178
7,0.268,0.122
8,0.235,0.091
9,0.261,0.082
10,0.236,0.071
11,0.221,0.058
12,0.207,0.056
13,0.192,0.052
14,0.178,0.048
15,0.08,0.029
16,0.065,0.029
17,0.054,0.023
18,0.048,0.022
19,0.04,0.021
20,0.04,0.02
21,0.04,0.018
22,0.039,0.017
